date,added,removed,added_evm
2022-09-15,6,0,0
2022-09-16,4,0,2
2022-11-09,54,2,54
2022-11-10,63,0,9
2023-02-02,2,0,1
2023-03-01,1,0,0
2023-04-15,1,0,0
2023-04-25,18,0,1
2023-05-19,23,0,14
2023-05-24,5,0,3
2023-08-01,1,0,1
2023-08-24,8,0,8
2023-09-27,1,0,1
2023-10-04,15,0,6
2023-10-19,1,0,0
2023-11-04,3,0,0
2023-11-22,0,0,0
2023-11-30,2,0,0
2023-12-04,5,0,2
2024-01-12,0,1,0
2024-02-21,10,0,1
2024-03-21,2,0,2
2024-03-27,1,0,1
2024-03-28,8,0,7
2024-05-02,3,0,1
2024-05-08,1,0,0
2024-05-29,49,0,1
2024-08-24,1,0,1
2024-09-27,4,0,1
2024-12-05,2,0,2
2024-12-20,5,0,5
2025-02-12,4,0,0
2025-03-05,49,0,0
2025-03-22,0,90,0
2025-04-03,8,0,8
2025-05-30,2,0,1
2025-07-02,1,0,0
2025-08-15,18,0,7
2025-08-28,1,0,0
2025-09-04,1,0,0
2025-09-17,7,0,3
2025-09-25,1,0,0
2025-10-15,4,0,0
2025-10-31,25,0,0
2025-11-05,53,0,53
2025-11-20,11,0,3
2026-01-31,7,0,0
2026-03-13,21,0,10
2026-04-25,2,0,0
2026-05-16,1,0,0
2026-05-21,6,0,6
2026-06-23,2,0,0
2026-07-02,134,0,0
2026-07-14,18,0,3
2026-07-15,4,0,0
2026-07-24,7,0,0
2026-08-08,13,0,4
2026-08-25,31,1,21
2026-09-10,53,1,0
